Date,^DJI,GS,MCD,DOW,CAT,MRK,CVX,VZ,MSFT,AMGN,CSCO,BA,PG,JPM,WBA,DIS,KO,MMM,AXP,WMT,JNJ,HON,V,NKE,AAPL,CRM,HD,TRV,UNH,INTC,IBM
2019-03-20,25745.669921875,186.6679229736328,177.3366241455078,44.805233001708984,125.70027923583984,77.96991729736328,114.53636169433594,52.99551773071289,115.08309936523438,181.8861846923828,50.057437896728516,367.3497619628906,96.7330093383789,97.89302062988281,58.652137756347656,108.66201782226562,43.04389953613281,195.61956787109375,107.31705474853516,95.6061782836914,130.85418701171875,150.47975158691406,152.1001434326172,85.19036102294922,46.143943786621094,163.50999450683594,178.30792236328125,125.67471313476562,243.27076721191406,51.560760498046875,128.047607421875
2019-03-21,25962.509765625,186.9176788330078,178.6788330078125,44.067474365234375,126.69257354736328,78.79635620117188,115.61107635498047,53.56526565551758,117.72711944580078,182.61900329589844,50.696556091308594,363.9707946777344,97.46525573730469,96.34764862060547,59.40876007080078,107.34808349609375,43.02499008178711,196.84979248046875,108.33432006835938,96.01325225830078,131.626220703125,152.55947875976562,154.1281280517578,86.48753356933594,47.84343719482422,166.9499969482422,182.015869140625,128.58380126953125,244.7469024658203,52.346336364746094,129.73533630371094
2019-03-22,25502.3203125,181.5189971923828,179.1006622314453,43.7255859375,122.63834381103516,78.16940307617188,113.06664276123047,54.916114807128906,114.62283325195312,177.6797332763672,49.5687141418457,353.68743896484375,96.67595672607422,93.4348373413086,58.29718017578125,106.92327880859375,43.422061920166016,192.20114135742188,106.04788208007812,95.25724029541016,130.49200439453125,150.03688049316406,151.42742919921875,80.76821899414062,46.85268020629883,161.5,180.846923828125,129.09097290039062,239.95916748046875,51.02426528930664,127.9100112915039
2019-03-25,25516.830078125,181.08670043945312,178.05564880371094,44.22043228149414,124.1598892211914,78.22638702392578,112.88292694091797,55.21017837524414,115.22020721435547,177.5750732421875,49.5593147277832,361.783203125,96.96124267578125,92.65745544433594,57.62462615966797,106.48858642578125,43.516597747802734,190.83941650390625,105.64098358154297,95.15062713623047,130.20608520507812,150.1331329345703,151.38783264160156,80.90577697753906,46.28617858886719,160.8800048828125,181.73802185058594,129.13882446289062,239.73580932617188,50.56441116333008,127.6623306274414
2019-03-26,25657.73046875,183.18087768554688,179.7430419921875,43.95051574707031,124.59457397460938,78.76783752441406,114.02195739746094,55.71559143066406,115.46501159667969,179.17391967773438,50.02924728393555,361.7051086425781,97.96927642822266,93.58468627929688,57.839473724365234,108.81021118164062,44.09328842163086,194.62408447265625,106.08663940429688,95.2960205078125,132.07418823242188,151.62551879882812,153.63351440429688,81.93761444091797,45.807960510253906,159.39999389648438,181.41224670410156,129.1675262451172,236.36593627929688,51.19670867919922,128.6162872314453
2019-03-27,25625.58984375,182.546875,179.7718048095703,45.075138092041016,123.98974609375,78.16940307617188,112.79107666015625,55.94533157348633,114.3486328125,177.31813049316406,49.944664001464844,365.4454040527344,97.85515594482422,93.26624298095703,58.12904357910156,108.94851684570312,44.06493377685547,194.5489501953125,105.58285522460938,94.22014617919922,132.19810485839844,151.269287109375,152.56509399414062,81.65263366699219,46.21996307373047,155.1199951171875,181.32601928710938,130.47854614257812,234.7344207763672,50.928462982177734,127.71739196777344
2019-03-28,25717.4609375,183.65155029296875,181.57420349121094,45.74992752075195,125.09546661376953,78.49237060546875,113.0023422241211,54.291229248046875,114.50532531738281,178.5838623046875,50.151432037353516,365.6700439453125,98.4732894897461,94.32459259033203,58.390594482421875,109.37332916259766,44.03657150268555,195.83554077148438,105.75725555419922,94.14262390136719,132.3696746826172,152.64613342285156,153.01026916503906,82.58619689941406,46.281272888183594,155.17999267578125,182.1020965576172,131.0048828125,235.23941040039062,50.88056182861328,128.3411102294922
2019-03-29,25928.6796875,184.42970275878906,182.06317138671875,46.451690673828125,128.0439910888672,79.00534057617188,113.14932250976562,54.33717727661133,115.49439239501953,180.80126953125,50.743553161621094,372.486572265625,98.94877624511719,94.81163024902344,59.10050964355469,109.68946075439453,44.3012809753418,195.13121032714844,105.89288330078125,94.53031158447266,133.2369842529297,153.01197814941406,154.5139617919922,82.7532730102539,46.582916259765625,158.3699951171875,183.85546875,131.25367736816406,240.12425231933594,51.445796966552734,129.42347717285156
2019-04-01,26258.419921875,188.9926300048828,180.615478515625,48.134132385253906,132.54238891601562,79.12882232666016,114.76600646972656,54.3004150390625,116.552001953125,182.50482177734375,51.67402267456055,382.3695373535156,98.55887603759766,98.00541687011719,59.30601119995117,111.15159606933594,44.16892623901367,199.03797912597656,108.21805572509766,94.81139373779297,132.4649658203125,155.46717834472656,155.5724639892578,83.75562286376953,46.89927673339844,161.17999267578125,187.4484405517578,132.07664489746094,238.4539031982422,52.22179412841797,131.44140625
2019-04-02,26179.130859375,189.72268676757812,180.57713317871094,50.60831832885742,132.48568725585938,79.0433349609375,114.7568130493164,53.78580856323242,116.71846771240234,183.13290405273438,51.96538162231445,381.5979919433594,98.66348266601562,98.47370910644531,51.7117805480957,110.60823822021484,44.02711868286133,199.21641540527344,107.53987121582031,93.95846557617188,131.2545166015625,155.0531463623047,156.0868682861328,82.91050720214844,47.5810432434082,160.50999450683594,186.17413330078125,130.91873168945312,237.3564910888672,52.078094482421875,131.16622924804688
